state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
2,AK,2023-10-14,14.7,22.01,23.04,28.05,21.95
2,AK,2023-10-21,9.83,9.76,9.28,4.35,8.305
2,AK,2023-10-28,12.8,15.21,3.41,6.22,9.41
2,AK,2023-11-04,1.89,29.17,45.34,62.49,34.722500000000004
2,AK,2023-11-11,18.47,32.17,44.34,63.49,39.6175
2,AK,2023-11-18,35.55,48.48,65.75,96.66,61.61
2,AK,2023-11-25,22.39,32.95,52.51,62.87,42.68
2,AK,2023-12-02,1.63,3.28,2.01,2.31,2.3075
2,AK,2023-12-09,0.44,1.7,2.15,0.7,1.2475
2,AK,2023-12-16,0.68,2.51,1.75,3.92,2.215
2,AK,2023-12-23,1.73,1.8,2.42,6.13,3.02
2,AK,2023-12-30,0.95,3.23,7.51,4.92,4.1525
2,AK,2024-01-06,1.17,5.36,4.17,6.1,4.199999999999999
2,AK,2024-01-13,7.54,3.76,2.52,9.19,5.7524999999999995
2,AK,2024-01-27,5.92,8.88,0.31,1.12,4.0575
2,AK,2024-02-03,7.29,0.59,0.86,8.98,4.43
2,AK,2024-02-10,1.0,0.8,7.66,1.19,2.6625
2,AK,2024-02-17,1.0,3.33,3.51,6.45,3.5725
2,AK,2024-02-24,5.53,1.02,2.63,8.87,4.512499999999999
2,AK,2024-03-02,1.06,4.55,3.2,6.87,3.92
2,AK,2024-03-09,3.24,5.68,5.86,1.98,4.19
2,AK,2024-03-16,5.64,6.17,2.12,4.73,4.665
2,AK,2024-03-23,3.64,5.17,2.78,0.38,2.9925
2,AK,2024-03-30,0.53,4.92,1.06,1.48,1.9975
