state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
1,AL,2023-10-14,9.79,11.85,16.83,31.85,17.58
1,AL,2023-10-21,6.39,9.17,26.23,46.71,22.125
1,AL,2023-10-28,9.7,29.74,41.75,43.05,31.06
1,AL,2023-11-04,22.23,36.92,27.09,40.09,31.582500000000003
1,AL,2023-11-11,38.66,32.92,39.08,66.09,44.1875
1,AL,2023-11-18,14.96,24.58,43.07,72.81,38.855000000000004
1,AL,2023-11-25,18.18,32.21,62.32,177.84,72.6375
1,AL,2023-12-02,4.62,7.4,73.88,40.23,31.5325
1,AL,2023-12-09,10.18,87.87,52.83,38.57,47.3625
1,AL,2023-12-16,114.28,95.32,99.82,18.99,82.10249999999999
1,AL,2023-12-23,19.78,17.47,133.11,290.31,115.1675
1,AL,2023-12-30,15.52,173.11,348.85,520.17,264.4125
1,AL,2024-01-06,182.54,358.69,532.46,742.02,453.9275
1,AL,2024-01-13,229.34,354.62,522.25,656.48,440.6725
1,AL,2024-01-27,17.72,9.22,22.1,9.98,14.754999999999999
1,AL,2024-02-03,13.69,37.72,25.48,36.05,28.235
1,AL,2024-02-10,29.0,21.21,28.85,40.24,29.825000000000003
1,AL,2024-02-17,16.87,23.05,27.01,39.11,26.51
1,AL,2024-02-24,16.66,20.68,34.24,26.28,24.465000000000003
1,AL,2024-03-02,12.66,23.32,14.4,28.28,19.665
1,AL,2024-03-09,22.44,8.82,20.7,7.98,14.985
1,AL,2024-03-16,6.58,11.74,4.87,2.94,6.532500000000001
1,AL,2024-03-23,7.1,4.08,7.71,3.16,5.5125
1,AL,2024-03-30,3.56,10.67,8.9,5.39,7.130000000000001
