state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
28,MS,2023-10-14,7.42,5.96,3.68,3.61,5.1674999999999995
28,MS,2023-10-21,2.94,3.44,5.21,11.9,5.8725000000000005
28,MS,2023-10-28,3.71,5.11,10.53,12.64,7.9975000000000005
28,MS,2023-11-04,7.82,8.69,12.22,42.43,17.79
28,MS,2023-11-11,15.17,9.43,42.18,36.43,25.802500000000002
28,MS,2023-11-18,12.17,41.42,34.6,59.45,36.91
28,MS,2023-11-25,36.85,32.14,56.01,156.93,70.4825
28,MS,2023-12-02,9.25,28.59,138.23,230.9,101.7425
28,MS,2023-12-09,11.68,88.21,165.97,111.43,94.3225
28,MS,2023-12-16,92.2,169.53,116.33,51.48,107.385
28,MS,2023-12-23,92.73,25.04,29.21,149.02,74.0
28,MS,2023-12-30,16.96,116.79,292.05,427.75,213.3875
28,MS,2024-01-06,111.86,287.57,428.11,651.21,369.6875
28,MS,2024-01-13,174.18,266.38,430.67,601.5,368.1825
28,MS,2024-01-27,27.35,31.77,62.96,33.19,38.8175
28,MS,2024-02-03,11.09,39.3,17.6,45.65,28.410000000000004
28,MS,2024-02-10,34.59,12.76,37.34,38.97,30.915
28,MS,2024-02-17,2.45,22.5,24.27,30.97,20.0475
28,MS,2024-02-24,15.93,17.99,18.43,16.33,17.17
28,MS,2024-03-02,7.76,15.26,8.55,19.06,12.657499999999999
28,MS,2024-03-09,9.38,5.91,14.1,25.79,13.795
28,MS,2024-03-16,4.69,13.06,27.43,11.79,14.2425
28,MS,2024-03-23,6.84,21.61,6.61,1.88,9.235000000000001
28,MS,2024-03-30,22.23,9.35,2.82,2.88,9.32
