state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
30,MT,2023-10-14,1.0,0.0,1.0,5.0,1.75
30,MT,2023-10-21,0.27,0.59,2.87,0.68,1.1025
30,MT,2023-10-28,0.57,2.87,1.27,1.76,1.6175
30,MT,2023-11-04,4.27,2.27,5.27,17.27,7.27
30,MT,2023-11-11,2.27,5.27,17.27,20.27,11.27
30,MT,2023-11-18,2.24,9.14,11.39,26.73,12.375
30,MT,2023-11-25,9.48,10.37,19.33,53.46,23.16
30,MT,2023-12-02,2.93,5.83,12.47,27.54,12.192499999999999
30,MT,2023-12-09,5.0,13.0,15.65,19.95,13.399999999999999
30,MT,2023-12-16,22.75,22.19,13.17,61.55,29.915
30,MT,2023-12-23,10.75,21.37,120.88,291.67,111.1675
30,MT,2023-12-30,64.23,204.76,435.28,699.5,350.9425
30,MT,2024-01-06,92.33,237.4,396.34,675.43,350.375
30,MT,2024-01-13,120.14,197.51,366.71,580.53,316.22249999999997
30,MT,2024-01-27,32.49,42.88,1.33,10.1,21.7
30,MT,2024-02-03,12.15,15.86,9.45,2.41,9.967499999999998
30,MT,2024-02-10,21.57,14.66,3.3,1.66,10.2975
30,MT,2024-02-17,7.07,1.63,9.99,20.61,9.825
30,MT,2024-02-24,2.07,4.85,24.3,15.42,11.66
30,MT,2024-03-02,2.29,12.0,9.3,23.42,11.752500000000001
30,MT,2024-03-09,17.91,7.98,11.2,1.95,9.760000000000002
30,MT,2024-03-16,2.02,12.01,2.86,1.15,4.51
30,MT,2024-03-23,4.4,4.21,2.19,2.04,3.21
30,MT,2024-03-30,4.0,2.01,3.89,0.53,2.6075
