state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
11,DC,2023-10-14,3.24,0.98,0.0,0.0,1.0550000000000002
11,DC,2023-10-21,0.78,1.06,1.06,2.95,1.4625000000000001
11,DC,2023-10-28,1.09,1.06,1.67,5.89,2.4275
11,DC,2023-11-04,0.76,2.4,5.09,7.97,4.055
11,DC,2023-11-11,2.61,5.33,8.09,10.97,6.75
11,DC,2023-11-18,6.82,9.01,8.71,14.54,9.77
11,DC,2023-11-25,5.41,10.34,15.73,41.39,18.2175
11,DC,2023-12-02,4.22,20.43,51.59,173.22,62.365
11,DC,2023-12-09,1.98,3.37,10.1,50.22,16.4175
11,DC,2023-12-16,19.88,16.81,5.41,24.67,16.6925
11,DC,2023-12-23,10.6,5.54,37.11,84.35,34.4
11,DC,2023-12-30,18.55,76.73,155.31,275.73,131.58
11,DC,2024-01-06,44.24,88.41,153.56,239.07,131.32
11,DC,2024-01-13,47.17,86.17,131.67,197.0,115.5025
11,DC,2024-01-27,1.78,1.89,7.53,6.33,4.3825
11,DC,2024-02-03,2.14,8.61,7.39,6.08,6.055
11,DC,2024-02-10,10.36,11.67,10.03,32.13,16.0475
11,DC,2024-02-17,4.06,6.22,24.77,7.37,10.604999999999999
11,DC,2024-02-24,5.43,30.11,7.16,13.83,14.1325
11,DC,2024-03-02,26.43,8.11,13.16,11.83,14.8825
11,DC,2024-03-09,3.02,7.19,6.62,9.72,6.637500000000001
11,DC,2024-03-16,3.76,5.65,7.23,5.77,5.6025
11,DC,2024-03-23,3.15,10.47,4.09,3.95,5.415
11,DC,2024-03-30,4.19,2.62,2.21,2.35,2.8425
