state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
22,LA,2023-10-14,11.63,24.81,16.94,39.66
22,LA,2023-10-21,18.36,11.55,30.46,57.45
22,LA,2023-10-28,12.89,35.64,61.46,80.45
22,LA,2023-11-04,18.07,43.12,60.87,53.84
22,LA,2023-11-11,49.07,66.12,63.87,89.84
22,LA,2023-11-18,50.53,43.67,65.67,73.85
22,LA,2023-11-25,25.28,43.28,42.62,144.14
22,LA,2023-12-02,10.18,47.27,29.76,83.12
22,LA,2023-12-09,13.24,16.69,16.47,119.6
22,LA,2023-12-16,58.2,63.64,38.11,175.14
22,LA,2023-12-23,13.14,112.58,283.27,541.29
22,LA,2023-12-30,116.72,290.05,548.43,743.89
22,LA,2024-01-06,213.53,445.63,599.84,787.12
22,LA,2024-01-13,286.89,394.01,522.27,682.72
22,LA,2024-01-27,11.51,11.54,9.55,11.03
22,LA,2024-02-03,8.55,7.54,17.18,15.76
22,LA,2024-02-10,9.22,28.56,26.54,16.61
22,LA,2024-02-17,23.13,21.99,13.98,9.83
22,LA,2024-02-24,21.27,11.33,9.53,7.61
22,LA,2024-03-02,6.79,4.1,5.0,19.24
22,LA,2024-03-09,4.77,4.23,14.09,11.07
22,LA,2024-03-16,4.32,14.47,9.67,10.24
22,LA,2024-03-23,13.54,5.55,6.8,6.65
22,LA,2024-03-30,5.24,4.56,4.11,2.67
