state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
37,NC,2023-10-21,2.68,6.24,5.96,44.65,14.8825
37,NC,2023-10-28,12.59,11.59,34.87,8.7,16.9375
37,NC,2023-11-04,20.12,46.93,99.87,30.43,49.337500000000006
37,NC,2023-11-11,58.77,111.93,159.87,121.39,112.99000000000001
37,NC,2023-11-18,123.77,171.93,259.87,210.39,191.48999999999998
37,NC,2023-11-25,183.77,271.93,348.87,541.39,336.49
37,NC,2023-12-02,283.77,360.93,679.87,884.39,552.24
37,NC,2023-12-09,372.77,691.93,1022.87,587.39,668.7399999999999
37,NC,2023-12-16,703.77,1034.93,725.87,313.39,694.49
37,NC,2023-12-23,1046.77,737.93,451.87,118.39,588.7399999999999
37,NC,2023-12-30,749.77,463.93,256.87,116.39,396.74000000000007
37,NC,2024-01-06,475.77,268.93,254.87,64.26,265.95750000000004
37,NC,2024-01-13,280.77,266.93,201.87,10.65,190.055
37,NC,2024-01-20,278.77,213.93,120.87,12.17,156.43499999999997
37,NC,2024-01-27,225.77,132.93,125.87,8.56,123.28250000000001
37,NC,2024-02-03,144.77,137.93,106.87,8.56,99.53250000000001
37,NC,2024-02-10,149.77,118.93,106.87,14.39,97.49000000000001
37,NC,2024-02-17,130.77,118.93,78.87,39.52,92.02250000000001
37,NC,2024-02-24,130.77,90.93,40.87,49.22,77.94749999999999
37,NC,2024-03-02,102.77,52.93,30.22,44.65,57.6425
37,NC,2024-03-09,64.77,41.93,34.87,54.78,49.0875
37,NC,2024-03-16,53.77,46.93,24.74,76.78,50.555
37,NC,2024-03-23,58.77,35.93,8.83,108.78,53.0775
37,NC,2024-03-30,47.77,16.02,8.13,118.78,47.675
