state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
38,ND,2023-10-21,5.18,7.97,9.09,2.4,6.159999999999999
38,ND,2023-10-28,5.75,6.66,5.39,3.92,5.43
38,ND,2023-11-04,4.62,3.49,7.61,3.01,4.682499999999999
38,ND,2023-11-11,2.14,5.36,2.52,1.53,2.8874999999999997
38,ND,2023-11-18,3.57,2.71,3.65,2.53,3.1149999999999998
38,ND,2023-11-25,3.62,2.53,2.48,9.31,4.485
38,ND,2023-12-02,2.05,2.49,4.74,33.62,10.725
38,ND,2023-12-09,3.14,6.58,23.57,34.62,16.9775
38,ND,2023-12-16,9.23,28.01,24.57,14.62,19.1075
38,ND,2023-12-23,32.49,29.01,8.13,23.62,23.3125
38,ND,2023-12-30,33.49,10.84,14.61,30.62,22.39
38,ND,2024-01-06,14.01,18.27,20.74,22.62,18.91
38,ND,2024-01-13,22.49,25.01,13.78,13.71,18.747500000000002
38,ND,2024-01-20,29.49,17.36,7.48,11.88,16.5525
38,ND,2024-01-27,21.49,10.1,6.26,8.49,11.584999999999999
38,ND,2024-02-03,13.18,8.62,4.35,6.18,8.0825
38,ND,2024-02-10,11.53,6.01,3.17,5.45,6.54
38,ND,2024-02-17,8.49,4.4,2.87,11.88,6.91
38,ND,2024-02-24,6.36,3.92,6.26,4.71,5.3125
38,ND,2024-03-02,5.7,8.62,2.74,13.71,7.692500000000001
38,ND,2024-03-09,11.53,3.53,7.48,4.14,6.67
38,ND,2024-03-16,5.14,10.1,2.61,3.01,5.215
38,ND,2024-03-23,13.18,3.23,2.52,2.23,5.29
38,ND,2024-03-30,4.57,2.71,2.52,2.4,3.0500000000000003
