state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
31,NE,2023-10-21,118.85,73.14,47.3,21.12,65.1025
31,NE,2023-10-28,120.85,73.14,48.3,17.12,64.8525
31,NE,2023-11-04,120.85,74.14,44.3,17.12,64.1025
31,NE,2023-11-11,121.85,70.14,44.3,14.47,62.690000000000005
31,NE,2023-11-18,117.85,70.14,41.3,12.81,60.525000000000006
31,NE,2023-11-25,117.85,67.14,39.3,9.94,58.557500000000005
31,NE,2023-12-02,114.85,65.14,8.52,8.73,49.31
31,NE,2023-12-09,112.85,27.05,9.38,9.29,39.6425
31,NE,2023-12-16,72.85,28.7,8.91,11.25,30.4275
31,NE,2023-12-23,74.85,27.88,7.73,3.25,28.4275
31,NE,2023-12-30,73.85,25.57,19.56,6.55,31.382499999999997
31,NE,2024-01-06,70.85,43.14,11.47,6.55,33.0025
31,NE,2024-01-13,90.85,32.01,11.47,11.9,36.5575
31,NE,2024-01-20,78.85,32.01,7.34,11.9,32.525
31,NE,2024-01-27,78.85,24.83,7.34,38.25,37.317499999999995
31,NE,2024-02-03,69.85,24.83,9.25,48.25,38.045
31,NE,2024-02-10,69.85,8.22,14.65,42.25,33.7425
31,NE,2024-02-17,41.33,6.66,11.17,21.94,20.275
31,NE,2024-02-24,33.41,7.27,5.38,15.6,15.415
31,NE,2024-03-02,38.02,15.83,6.08,8.73,17.165
31,NE,2024-03-09,56.85,21.14,9.38,11.25,24.655
31,NE,2024-03-16,64.85,28.7,7.73,6.08,26.84
31,NE,2024-03-23,74.85,25.57,12.04,4.47,29.232499999999995
31,NE,2024-03-30,70.85,32.92,25.99,9.94,34.925
