state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
06,CA,2023-10-14,8.98,3.46,17.83,37.74
06,CA,2023-10-21,2.08,10.61,30.61,146.91
06,CA,2023-10-28,17.35,28.51,155.61,284.91
06,CA,2023-11-11,148.21,274.27,347.86,529.01
06,CA,2023-11-18,286.21,351.27,541.86,705.01
06,CA,2023-11-25,255.47,423.95,559.32,717.21
06,CA,2023-12-02,26.14,96.45,385.41,542.47
06,CA,2023-12-09,59.62,46.94,144.69,123.58
06,CA,2023-12-16,50.14,276.68,43.4,605.62
06,CA,2023-12-23,538.85,324.31,186.57,923.64
06,CA,2023-12-30,55.73,832.01,1838.09,2593.47
06,CA,2024-01-06,800.5,1819.11,2542.93,3747.62
06,CA,2024-01-13,1194.21,1717.25,2665.37,3558.47
06,CA,2024-01-20,767.03,1438.87,1983.58,2481.51
06,CA,2024-02-03,58.0,38.02,23.16,18.81
06,CA,2024-02-10,25.02,18.55,22.67,44.07
06,CA,2024-02-17,16.11,26.61,44.53,35.74
06,CA,2024-02-24,27.65,41.42,33.54,45.06
06,CA,2024-03-02,43.46,37.38,50.5,66.84
06,CA,2024-03-09,15.06,26.39,39.24,72.41
06,CA,2024-03-16,38.5,49.37,75.33,71.86
06,CA,2024-03-23,50.76,82.11,66.03,107.06
06,CA,2024-03-30,55.2,51.11,94.03,83.06
06,CA,2024-04-06,35.68,82.76,72.11,76.16
