state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
19,IA,2023-10-14,0.58,1.86,2.61,8.32
19,IA,2023-10-21,0.34,1.45,2.3,5.29
19,IA,2023-10-28,0.34,1.65,5.3,6.29
19,IA,2023-11-11,3.73,2.52,13.13,31.27
19,IA,2023-11-18,4.47,14.13,30.13,31.27
19,IA,2023-11-25,10.23,23.78,19.51,19.31
19,IA,2023-12-02,21.46,15.34,17.34,42.74
19,IA,2023-12-09,2.64,9.03,8.36,24.1
19,IA,2023-12-16,4.5,6.16,9.61,50.28
19,IA,2023-12-23,11.62,4.79,27.4,82.67
19,IA,2023-12-30,10.34,53.55,123.45,191.33
19,IA,2024-01-06,27.61,80.53,124.79,226.75
19,IA,2024-01-13,60.41,96.78,179.2,231.32
19,IA,2024-01-20,43.1,93.64,111.39,174.81
19,IA,2024-02-03,30.52,41.57,62.34,102.99
19,IA,2024-02-10,24.73,48.61,89.16,120.15
19,IA,2024-02-17,23.58,59.44,94.89,94.98
19,IA,2024-02-24,40.36,65.77,66.36,7.02
19,IA,2024-03-02,61.92,69.5,8.99,5.16
19,IA,2024-03-09,59.92,11.38,5.02,5.15
19,IA,2024-03-16,11.93,27.43,34.36,41.43
19,IA,2024-03-23,26.91,30.54,37.11,55.76
19,IA,2024-03-30,30.91,38.54,56.11,65.76
19,IA,2024-04-06,19.68,37.76,45.37,73.75
