state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
72,PR,2023-10-14,7.13,41.65,11.57,9.56
72,PR,2023-10-21,29.87,5.36,7.06,35.32
72,PR,2023-10-28,10.27,6.23,25.43,30.36
72,PR,2023-11-04,6.43,46.63,59.12,110.32
72,PR,2023-11-11,29.54,40.63,87.12,139.32
72,PR,2023-11-18,40.18,86.27,134.8,161.12
72,PR,2023-11-25,68.35,113.83,135.95,150.75
72,PR,2023-12-02,50.85,57.8,54.05,50.2
72,PR,2023-12-09,8.08,3.07,3.18,3.08
72,PR,2023-12-16,5.81,10.11,6.61,23.2
72,PR,2023-12-23,10.84,6.63,21.31,15.39
72,PR,2023-12-30,2.27,15.48,13.91,16.06
72,PR,2024-01-06,14.71,10.65,17.72,4.9
72,PR,2024-01-13,6.46,7.61,1.89,33.47
72,PR,2024-01-27,11.21,15.01,4.3,4.52
72,PR,2024-02-03,22.85,9.84,11.81,7.0
72,PR,2024-02-10,2.25,2.53,2.2,5.07
72,PR,2024-02-17,3.45,1.89,7.73,15.62
72,PR,2024-02-24,1.44,4.63,20.17,8.26
72,PR,2024-03-02,7.56,15.3,6.95,6.49
72,PR,2024-03-09,13.41,4.25,4.69,1.81
72,PR,2024-03-16,2.61,2.1,2.25,1.87
72,PR,2024-03-23,2.18,3.35,1.95,3.34
72,PR,2024-03-30,3.87,2.02,3.9,2.41
