state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
04,AZ,2023-10-14,10.96,38.47,40.59,37.46
04,AZ,2023-10-21,29.13,21.74,22.58,111.31
04,AZ,2023-10-28,26.13,23.74,103.58,170.31
04,AZ,2023-11-11,75.2,125.27,134.32,188.61
04,AZ,2023-11-18,134.2,146.27,201.32,303.61
04,AZ,2023-11-25,66.38,95.74,159.46,308.12
04,AZ,2023-12-02,50.99,87.66,199.5,431.4
04,AZ,2023-12-09,27.65,49.7,96.34,163.07
04,AZ,2023-12-16,74.46,167.12,95.51,269.35
04,AZ,2023-12-23,303.73,230.9,102.51,616.76
04,AZ,2023-12-30,34.19,543.57,1254.86,1912.3
04,AZ,2024-01-06,556.17,1272.66,1928.5,2725.71
04,AZ,2024-01-13,803.0,1315.98,1978.39,2977.31
04,AZ,2024-01-20,735.54,1171.3,1911.34,2578.39
04,AZ,2024-02-03,133.44,236.52,162.83,110.97
04,AZ,2024-02-10,173.08,97.0,47.63,27.56
04,AZ,2024-02-17,16.81,8.61,15.98,6.62
04,AZ,2024-02-24,19.57,30.42,14.64,37.68
04,AZ,2024-03-02,22.97,8.85,29.27,21.7
04,AZ,2024-03-09,8.71,12.68,11.04,15.06
04,AZ,2024-03-16,20.13,13.31,19.45,21.57
04,AZ,2024-03-23,9.31,15.54,15.89,29.12
04,AZ,2024-03-30,6.51,7.39,19.2,23.34
04,AZ,2024-04-06,11.9,24.34,25.32,60.69
