state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
11,DC,2023-10-14,1.24,3.24,0.98,0.0
11,DC,2023-10-21,0.93,0.78,1.06,1.06
11,DC,2023-10-28,0.78,1.09,1.06,1.67
11,DC,2023-11-11,0.76,2.4,5.09,7.97
11,DC,2023-11-18,2.61,5.33,8.09,10.97
11,DC,2023-11-25,6.82,9.01,8.71,14.54
11,DC,2023-12-02,5.41,10.34,15.73,41.39
11,DC,2023-12-09,4.22,20.43,51.59,173.22
11,DC,2023-12-16,1.98,3.37,10.1,50.22
11,DC,2023-12-23,19.88,16.81,5.41,24.67
11,DC,2023-12-30,10.6,5.54,37.11,84.35
11,DC,2024-01-06,18.55,76.73,155.31,275.73
11,DC,2024-01-13,44.24,88.41,153.56,239.07
11,DC,2024-01-20,47.17,86.17,131.67,197.0
11,DC,2024-02-03,1.78,1.89,7.53,6.33
11,DC,2024-02-10,2.14,8.61,7.39,6.08
11,DC,2024-02-17,10.36,11.67,10.03,32.13
11,DC,2024-02-24,4.06,6.22,24.77,7.37
11,DC,2024-03-02,5.43,30.11,7.16,13.83
11,DC,2024-03-09,26.43,8.11,13.16,11.83
11,DC,2024-03-16,3.02,7.19,6.62,9.72
11,DC,2024-03-23,3.76,5.65,7.23,5.77
11,DC,2024-03-30,3.15,10.47,4.09,3.95
11,DC,2024-04-06,4.19,2.62,2.21,2.35
