state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
28,MS,2023-10-14,4.77,7.42,5.96,3.68
28,MS,2023-10-21,2.48,2.94,3.44,5.21
28,MS,2023-10-28,2.92,3.71,5.11,10.53
28,MS,2023-11-11,7.82,8.69,12.22,42.43
28,MS,2023-11-18,15.17,9.43,42.18,36.43
28,MS,2023-11-25,12.17,41.42,34.6,59.45
28,MS,2023-12-02,36.85,32.14,56.01,156.93
28,MS,2023-12-09,9.25,28.59,138.23,230.9
28,MS,2023-12-16,11.68,88.21,165.97,111.43
28,MS,2023-12-23,92.2,169.53,116.33,51.48
28,MS,2023-12-30,92.73,25.04,29.21,149.02
28,MS,2024-01-06,16.96,116.79,292.05,427.75
28,MS,2024-01-13,111.86,287.57,428.11,651.21
28,MS,2024-01-20,174.18,266.38,430.67,601.5
28,MS,2024-02-03,27.35,31.77,62.96,33.19
28,MS,2024-02-10,11.09,39.3,17.6,45.65
28,MS,2024-02-17,34.59,12.76,37.34,38.97
28,MS,2024-02-24,2.45,22.5,24.27,30.97
28,MS,2024-03-02,15.93,17.99,18.43,16.33
28,MS,2024-03-09,7.76,15.26,8.55,19.06
28,MS,2024-03-16,9.38,5.91,14.1,25.79
28,MS,2024-03-23,4.69,13.06,27.43,11.79
28,MS,2024-03-30,6.84,21.61,6.61,1.88
28,MS,2024-04-06,22.23,9.35,2.82,2.88
