state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
53,WA,2023-10-14,22.29,32.14,24.76,31.19,27.595
53,WA,2023-10-21,35.77,30.67,33.76,21.51,30.4275
53,WA,2023-10-28,26.77,30.67,18.03,18.77,23.56
53,WA,2023-11-04,9.32,2.84,3.15,30.47,11.445
53,WA,2023-11-11,2.67,4.54,30.16,39.28,19.1625
53,WA,2023-11-18,13.57,46.62,65.3,87.4,53.2225
53,WA,2023-11-25,47.85,55.4,81.19,135.53,79.9925
53,WA,2023-12-02,9.66,10.28,15.39,17.94,13.317499999999999
53,WA,2023-12-09,7.92,10.87,12.94,46.72,19.612499999999997
53,WA,2023-12-16,28.01,36.26,12.35,56.24,33.214999999999996
53,WA,2023-12-23,8.02,60.39,204.75,346.86,155.005
53,WA,2023-12-30,61.28,206.22,345.28,534.2,286.745
53,WA,2024-01-06,153.34,277.51,443.04,644.66,379.63750000000005
53,WA,2024-01-13,121.68,215.22,322.63,460.0,279.8825
53,WA,2024-01-27,19.69,22.0,33.57,69.94,36.3
53,WA,2024-02-03,9.9,19.82,62.72,49.73,35.5425
53,WA,2024-02-10,17.1,54.14,42.32,35.79,37.3375
53,WA,2024-02-17,47.46,32.56,22.92,59.84,40.69500000000001
53,WA,2024-02-24,18.22,7.74,42.77,45.37,28.525
53,WA,2024-03-02,3.68,31.34,38.77,20.37,23.540000000000003
53,WA,2024-03-09,26.46,28.04,12.56,6.13,18.2975
53,WA,2024-03-16,20.36,8.55,2.32,5.21,9.11
53,WA,2024-03-23,3.14,2.27,2.27,3.32,2.75
53,WA,2024-03-30,3.0,2.63,9.06,2.81,4.375
