state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS
02,AK,2023-10-21,15.6,20.18,26.78,4.81
02,AK,2023-10-28,18.6,26.18,6.43,3.38
02,AK,2023-11-04,24.6,6.09,4.21,3.77
02,AK,2023-11-11,5.38,4.05,4.95,3.38
02,AK,2023-11-18,3.42,4.7,4.21,2.51
02,AK,2023-11-25,4.07,4.05,2.04,2.29
02,AK,2023-12-02,3.42,2.05,1.82,2.51
02,AK,2023-12-09,2.38,1.83,2.04,2.29
02,AK,2023-12-16,2.07,2.05,1.82,2.07
02,AK,2023-12-23,2.38,1.83,1.6,1.6
02,AK,2023-12-30,2.07,1.62,2.17,1.86
02,AK,2024-01-06,1.77,2.09,1.39,1.73
02,AK,2024-01-13,1.9,1.4,1.78,2.2
02,AK,2024-01-20,1.47,1.7,2.95,2.94
02,AK,2024-01-27,1.68,2.88,2.47,2.51
02,AK,2024-02-03,2.51,2.49,2.04,2.2
02,AK,2024-02-10,2.99,2.05,2.95,2.29
02,AK,2024-02-17,2.38,2.88,1.82,1.6
02,AK,2024-02-24,2.51,1.83,2.17,1.9
02,AK,2024-03-02,2.07,2.09,2.56,1.73
02,AK,2024-03-09,1.9,2.49,1.78,1.86
02,AK,2024-03-16,2.2,1.7,1.39,1.73
02,AK,2024-03-23,1.68,1.4,1.78,2.94
02,AK,2024-03-30,1.47,1.7,2.47,2.73
