state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
34,NJ,2023-10-21,413.51,373.43,297.76,370.41,363.77750000000003
34,NJ,2023-10-28,431.51,353.43,310.76,328.41,356.02750000000003
34,NJ,2023-11-04,411.51,366.43,268.76,274.41,330.27750000000003
34,NJ,2023-11-11,424.51,324.43,214.76,243.41,301.77750000000003
34,NJ,2023-11-18,382.51,270.43,183.76,101.11,234.45250000000001
34,NJ,2023-11-25,328.51,239.43,52.41,22.02,160.5925
34,NJ,2023-12-02,297.51,97.65,48.2,189.81,158.2925
34,NJ,2023-12-09,152.51,22.82,265.63,127.98,142.23499999999999
34,NJ,2023-12-16,26.73,194.6,199.63,55.5,119.115
34,NJ,2023-12-23,127.99,131.99,107.41,22.15,97.38499999999999
34,NJ,2023-12-30,77.47,58.21,24.76,68.89,57.332499999999996
34,NJ,2024-01-06,28.12,21.47,29.33,79.98,39.725
34,NJ,2024-01-13,46.16,65.86,36.59,86.24,58.712500000000006
34,NJ,2024-01-20,114.21,76.95,41.11,52.37,71.16
34,NJ,2024-01-27,127.82,82.86,21.41,108.33,85.105
34,NJ,2024-02-03,135.12,49.86,57.98,71.11,78.5175
34,NJ,2024-02-10,94.38,104.43,30.67,131.41,90.2225
34,NJ,2024-02-17,160.51,68.08,76.8,181.41,121.69999999999999
34,NJ,2024-02-24,116.86,127.43,121.76,222.41,147.115
34,NJ,2024-03-02,185.51,177.43,162.76,215.41,185.2775
34,NJ,2024-03-09,235.51,218.43,155.76,235.41,211.2775
34,NJ,2024-03-16,276.51,211.43,175.76,273.41,234.27750000000003
34,NJ,2024-03-23,269.51,231.43,213.76,293.41,252.02750000000003
34,NJ,2024-03-30,289.51,269.43,233.76,314.41,276.77750000000003
