state_code,state_abbrev,date,1wk_WIS,2wk_WIS,3wk_WIS,4wk_WIS,avg_wis
47,TN,2023-10-21,681.81,490.17,325.95,217.65,428.89500000000004
47,TN,2023-10-28,681.81,487.17,315.95,201.65,421.64500000000004
47,TN,2023-11-04,678.81,477.17,299.95,176.65,408.14500000000004
47,TN,2023-11-11,668.81,461.17,274.95,121.65,381.64500000000004
47,TN,2023-11-18,652.81,436.17,219.95,94.74,350.9175
47,TN,2023-11-25,627.81,381.17,192.95,18.74,305.1675
47,TN,2023-12-02,572.81,354.17,83.91,163.39,293.57
47,TN,2023-12-09,545.81,240.17,60.3,104.56,237.70999999999998
47,TN,2023-12-16,431.81,39.52,28.17,38.22,134.43
47,TN,2023-12-23,185.24,72.69,24.78,22.35,76.26500000000001
47,TN,2023-12-30,243.81,142.08,38.22,23.43,111.885
47,TN,2024-01-06,331.81,173.17,95.48,58.09,164.63750000000002
47,TN,2024-01-13,364.81,254.17,149.95,79.22,212.03750000000002
47,TN,2024-01-20,445.81,311.17,175.95,81.04,253.4925
47,TN,2024-01-27,502.81,337.17,177.95,74.0,272.9825
47,TN,2024-02-03,528.81,339.17,169.95,47.74,271.4175
47,TN,2024-02-10,530.81,331.17,135.95,87.43,271.34000000000003
47,TN,2024-02-17,522.81,297.17,184.95,142.65,286.89500000000004
47,TN,2024-02-24,488.81,346.17,240.95,146.65,305.64500000000004
47,TN,2024-03-02,537.81,402.17,244.95,188.65,343.39500000000004
47,TN,2024-03-09,593.81,406.17,286.95,172.65,364.89500000000004
47,TN,2024-03-16,597.81,448.17,270.95,197.65,378.64500000000004
47,TN,2024-03-23,639.81,432.17,295.95,216.65,396.14500000000004
47,TN,2024-03-30,623.81,457.17,314.95,228.65,406.14500000000004
